CPFF11;Capitânia REIT FOF;68,70-0,29%;43832;100;Fundo de Fundos;BTG PACTUAL;
;;44749,44028;;;;;
CPTI11;Capitânia FI-Infra;1,034;N/D;0;N/D;BTG PACTUAL;
;;44749,43958;;;;;
CPTR11;Capitânia Agro Strategies Fiagro;1,008;N/D;0;Agronegócio;BTG PACTUAL;
;;44749,43264;;;;;
CPTS11;Capitânia Securities II;91,67+0,49%;41879;100;Recebíveis Imobiliários;BTG PACTUAL;
;;44749,44028;;;;;
CRFF11;Caixa Rio Bravo Fundo de Fundos II;0,6695;43602;100;Fundo de Fundos;CAIXA ECONOMICA FEDERAL;
;;44749,44028;;;;;
CTXT11;Centro Têxtil Internacional;0,1389;41255;42;Lajes Comerciais;RIO BRAVO;
;;44749,42153;;;;;
CVBI11;VBI CRI;100,22+0,24%;43734;100;Recebíveis Imobiliários;BRL TRUST;
;;44749,43958;;;;;
CXAG11;Caixa Agencias;75,01+0,24%;44560;103,7;Agencias Bancárias;OLIVEIRA TRUST;
;;44749,43472;;;;;
CXCE11B;Caixa Cedae;36,11+0,11%;40241;1000;Lajes Comerciais;CAIXA ECONOMICA FEDERAL;
;;44748,70347;;;;;
CXCI11;Caixa Carteira Imobiliária;77,00+0,25%;44642;100;Fundo de Fundos;CAIXA ECONOMICA FEDERAL;
;;44749,42431;;;;;
CXCO11;Caixa Imóveis Corporativos;75,50+1,34%;44286;102,89;Lajes Comerciais;VÓRTX;
;;44749,43958;;;;;
CXRI11;Caixa Rio Bravo Fundo de Fundos;63,10+0,23%;41620;100;Fundo de Fundos;CAIXA ECONOMICA FEDERAL;
;;44748,66319;;;;;
CXTL11;Caixa Seq Logística Renda;348,98-0,01%;40925;1000;Logisticos;CAIXA ECONOMICA FEDERAL;
;;44749,41736;;;;;
CYCR11;Cyrela Crédito;99,50-2,39%;44523;100;Recebíveis Imobiliários;BANCO GENIAL;
;;44748,67292;;;;;
DAMT11B;Diamante;0,0091;N/D;1;Shopping/Varejo;BTG PACTUAL;
;;44749,43958;;;;;
DCRA11;Devant Fiagro;9,88+0,61%;44600;10;Agronegócio;BANCO DAYCOVAL;
;;44749,44028;;;;;
DEVA11;Devant Recebíveis Imobiliários;100,72+0,22%;44069;100;Recebíveis Imobiliários;VÓRTX;
;;44749,44028;;;;;
DLMT11;Del Monte Ajax;N/D;N/D;1;Lajes Comerciais;PLANNER;
DMAC11;MAC FII;N/D;43343;1000;Incorporação Residencial;OLIVEIRA TRUST;
DOVL11B;Dovel;921,81+922,081%;39780;1000;Lajes Comerciais;BRL TRUST;
;;44578,21186;;;;;
DPRO11;Devant Properties;N/D;N/D;0;Logisticos;N/D;
DRIT11B;Multigestão Renda Comercial;0,8501;40752;100;Lajes Comerciais;BANCO DAYCOVAL;
;;44747,58333;;;;;
DVFF11;Devant Fundo de Fundos;70,49+0,71%;44400;100;Fundo de Fundos;BANCO DAYCOVAL;
;;44748,54444;;;;;
EDFO11B;Edifício Ourinvest;201,00-1,59%;38740;100;Lajes Comerciais;OLIVEIRA TRUST;
;;44749,43333;;;;;
EDGA11;Edifício Galeria;18,13+0,28%;41164;100;Lajes Comerciais;BTG PACTUAL;
;;44749,43681;;;;;
EGAF11;Ecoagro I Fiagro;104,00+1,46%;44589;100;Agronegócio;VÓRTX;
;;44749,43958;;;;;
EGYR11;Energy Resort;1,73-0,57%;N/D;1;Incorporação Residencial;REAG;
;;44749,43472;;;;;
ELDO11B;Eldorado;683,36+700,755%;40498;1000;Shopping/Varejo;RIO BRAVO;
;;44578,21186;;;;;
EQIR11;EQI Recebíveis Imobiliários;94,10+0,1%;44522;100;Recebíveis Imobiliários;N/D;
;;44746,69444;;;;;
ERCR11;Estoque Residencial e Comercial Rio de Janeiro;72.991,40+76000%;44183;100;Incorporação Residencial;OLIVEIRA TRUST;
;;44578,2122;;;;;
ERPA11;Europa 105;126,50+5,42%;43539;100;Lajes Comerciais;OLIVEIRA TRUST;
;;44749,43681;;;;;
ESTQ11;Polo Estoque II;N/D;N/D;1;Lajes Comerciais;OLIVEIRA TRUST;
EURO11;Europar;206,04-0,45%;37638;100;Logisticos;COINVALORES;
;;44748,71319;;;;;
EVBI11;VBI Consumo Essencial;95,20-0,02%;43853;100;Outros;BRL TRUST;
;;44748,70833;;;;;
EXES11;Exes;102,77+2,77%;N/D;0;N/D;N/D;
;;44739;;;;;
FAED11;Anhanguera Educacional;135,21-0,21%;40186;100;Educacional;BTG PACTUAL;
;;44748,69167;;;;;
FAMB11B;Edifício Almirante Barroso;7,8001;37712;1000;Lajes Comerciais;BTG PACTUAL;
;;44748,70208;;;;;
FATN11;Athena I;96,00+1,19%;43986;100;Híbrido;BR-CAPITAL;
;;44749,43958;;;;;
FCAS11;Edifício Castelo;N/D;41213;100;Lajes Comerciais;BTG PACTUAL;
FCFL11;Campus Faria Lima;114,70+0,61%;40386;50;Educacional;BTG PACTUAL;
;;44749,43958;;;;;
FEXC11;BTG Pactual Fundo de CRI;88,29+0,12%;39983;100;Recebíveis Imobiliários;null;
;;44749,43889;;;;;
FGAA11;FG/Agro Fiagro;10,88-0,18%;44573;10;Agronegócio;BRL TRUST;
;;44749,44028;;;;;
FGPM11;Grand Plaza Mall;N/D;N/D;100;Shopping/Varejo;RIO BRAVO;
FIGS11;General Shopping Ativo e Renda;47,70+0,87%;41452;100;Shopping/Varejo;HEDGE INVESTMENTS;
;;44749,43472;;;;;
FIIB11;Industrial do Brasil;425,97+0,23%;40903;300;Logisticos;COINVALORES;
;;44749,43819;;;;;
FIIP11B;RB Capital Renda I;152,09+0,05%;40177;100;Híbrido;OLIVEIRA TRUST;
;;44748,70208;;;;;
FINF11;Infra Real Estate;N/D;41899;150;Logisticos;PLANNER;
FISC11;SC 401;162,56+162,781%;43461;100;Lajes Comerciais;BR-CAPITAL;
;;44578,21233;;;;;
FISD11;São Domingos;188,40+188,402%;42795;100;Recebíveis Imobiliários;RJI;
;;44578,21218;;;;;
FIVN11;Vida Nova;2,13+0,95%;41821;10;Incorporação Residencial;OLIVEIRA TRUST;
;;44749,43403;;;;;
FLCR11;Faria Lima Capital Recebíveis Imobiliários I;99,95-0,1%;43760;100;Recebíveis Imobiliários;BRL TRUST;
;;44749,44028;;;;;
FLMA11;Continental Square Faria Lima;111,87+1,56%;36839;50;Lajes Comerciais;BR-CAPITAL;
;;44749,43472;;;;;
FLRP11;Floripa Shopping;14,25;40105;1000;Shopping/Varejo;BTG PACTUAL;
;;44748,64583;;;;;
FMOF11;Memorial Office;62,00+0,01%;39671;100;Lajes Comerciais;COINVALORES;
;;44729,60833;;;;;
FOFT11;Hedge TOP FOFII 2;N/D;41408;100;Fundo de Fundos;HEDGE INVESTMENTS;
FPAB11;Projeto Água Branca;197,96+2,04%;38944;160;Lajes Comerciais;COINVALORES;
;;44749,42778;;;;;
FPNG11;Pedra Negra Renda Imobiliária;0,65;42464;100;Lajes Comerciais;BR-CAPITAL;
;;44740,48611;;;;;
FTCE11B;Opportunity;2.846,00+17,25%;35345;1000;Lajes Comerciais;BRL TRUST;
;;44665,46875;;;;;
FTMJ11;TMJ FII;N/D;42898;800;Recebíveis Imobiliários;GRADUAL;
FVBI11;VBI FL 4440;N/D;41093;100;Lajes Comerciais;BTG PACTUAL;
FVPQ11;Via Parque;115,08+0,68%;35009;100;Shopping/Varejo;RIO BRAVO;
;;44748,69444;;;;;
FZDA11;051 Agro Fiagro;N/D;N/D;0;N/D;N/D;
GALG11;Guardian Logística;91,31-0,43%;44202;100;Logisticos;BRL TRUST;
;;44749,44028;;;;;
GAME11;Guardian Multiestratégia Imobiliária I;10,00+0,1%;44610;10;Recebíveis Imobiliários;BANCO DAYCOVAL;
;;44749,43889;;;;;
GCFF11;Galapagos Fundo de Fundos;70,26-0,13%;44032;100;Fundo de Fundos;BTG PACTUAL;
;;44749,42778;;;;;
GCRA11;Galapagos Recebíveis do Agronegócio Fiagro;102,85+0,7%;44580;100;Agronegócio;SINGULARE;
;;44749,4375;;;;;
GCRI11;Galapagos Recebíveis Imobiliários;97,59+0,09%;44175;100;Recebíveis Imobiliários;BTG PACTUAL;
;;44749,4375;;;;;
GESE11B;General Severiano;1.372,12+1387,811%;42555;1000;Outros;BTG PACTUAL;
;;44578,21186;;;;;
GGRC11;GGR Covepi;107,73+0,21%;42858;100;Logisticos;CM CAPITAL MARKETS;
;;44749,43958;;;;;
GRLV11;GR Louveira;N/D;41696;100;Logisticos;HEDGE INVESTMENTS;
GSFI11;General Shopping e Outlets;4,54+0,89%;43587;10;Shopping/Varejo;PLANNER;
;;44749,43681;;;;;
GTLG11;Gtis Brazil Logistics;99,83+0,68%;44508;100;Logisticos;BRL TRUST;
;;44748,70417;;;;;
GTWR11;Green Towers;70,20+0,36%;43635;100;Lajes Comerciais;BV DTVM;
;;44749,43958;;;;;
GWIC11;GWI Condomínios Logísticos;N/D;40402;100;Logisticos;BTG PACTUAL;
